Date,Paycheck,FoodDrink,Rage,Mom,Entertainment,Gas,Tyrian,GiftsDonations,Dates,FoodShopping,Bills,School,ClothesShoes,Vacations,TollsMTA,GoodProblems,Other
42979,109,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0
42980,168,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
42981,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42982,0,-12.98,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42983,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42984,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42985,253.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42986,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42987,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42988,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42989,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,5
42990,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42991,157.53,0,0,0,0,0,0,0,0,0,-51.5,0,0,0,0,0,-5
42992,258.41,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42993,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42994,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42995,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42996,0,-5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42997,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26
42998,198.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42999,268.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43000,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57.6
43001,285,-5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43002,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43003,34.76,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0
43004,0,-13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35
43005,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43006,235.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43007,140,0,-85,-153.98,0,0,0,0,0,0,0,0,0,0,0,0,-4
43008,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.99
