YEAR,MONTH,Category,Number
1976,1,NYS Labor Force," 7,687,165 "
1976,2,NYS Labor Force," 7,684,752 "
1976,3,NYS Labor Force," 7,684,481 "
1976,4,NYS Labor Force," 7,689,935 "
1976,5,NYS Labor Force," 7,699,911 "
1976,6,NYS Labor Force," 7,710,197 "
1976,7,NYS Labor Force," 7,714,711 "
1976,8,NYS Labor Force," 7,711,955 "
1976,9,NYS Labor Force," 7,702,135 "
1976,10,NYS Labor Force," 7,688,549 "
1976,11,NYS Labor Force," 7,675,643 "
1976,12,NYS Labor Force," 7,669,179 "
1977,1,NYS Labor Force," 7,673,859 "
1977,2,NYS Labor Force," 7,685,946 "
1977,3,NYS Labor Force," 7,699,013 "
1977,4,NYS Labor Force," 7,710,663 "
1977,5,NYS Labor Force," 7,719,926 "
1977,6,NYS Labor Force," 7,726,901 "
1977,7,NYS Labor Force," 7,733,588 "
1977,8,NYS Labor Force," 7,742,645 "
1977,9,NYS Labor Force," 7,754,068 "
1977,10,NYS Labor Force," 7,765,621 "
1977,11,NYS Labor Force," 7,775,641 "
1977,12,NYS Labor Force," 7,782,581 "
1978,1,NYS Labor Force," 7,787,320 "
1978,2,NYS Labor Force," 7,792,592 "
1978,3,NYS Labor Force," 7,799,865 "
1978,4,NYS Labor Force," 7,808,695 "
1978,5,NYS Labor Force," 7,819,734 "
1978,6,NYS Labor Force," 7,832,827 "
1978,7,NYS Labor Force," 7,847,213 "
1978,8,NYS Labor Force," 7,862,942 "
1978,9,NYS Labor Force," 7,880,750 "
1978,10,NYS Labor Force," 7,901,898 "
1978,11,NYS Labor Force," 7,924,783 "
1978,12,NYS Labor Force," 7,944,266 "
1979,1,NYS Labor Force," 7,955,684 "
1979,2,NYS Labor Force," 7,959,763 "
1979,3,NYS Labor Force," 7,960,601 "
1979,4,NYS Labor Force," 7,962,758 "
1979,5,NYS Labor Force," 7,970,035 "
1979,6,NYS Labor Force," 7,982,659 "
1979,7,NYS Labor Force," 7,999,247 "
1979,8,NYS Labor Force," 8,017,455 "
1979,9,NYS Labor Force," 8,034,013 "
1979,10,NYS Labor Force," 8,044,467 "
1979,11,NYS Labor Force," 8,046,086 "
1979,12,NYS Labor Force," 8,040,294 "
1980,1,NYS Labor Force," 8,028,702 "
1980,2,NYS Labor Force," 8,012,458 "
1980,3,NYS Labor Force," 7,993,688 "
1980,4,NYS Labor Force," 7,975,051 "
1980,5,NYS Labor Force," 7,959,384 "
1980,6,NYS Labor Force," 7,950,541 "
1980,7,NYS Labor Force," 7,948,491 "
1980,8,NYS Labor Force," 7,950,512 "
1980,9,NYS Labor Force," 7,955,340 "
1980,10,NYS Labor Force," 7,963,137 "
1980,11,NYS Labor Force," 7,975,839 "
1980,12,NYS Labor Force," 7,995,685 "
1981,1,NYS Labor Force," 8,021,001 "
1981,2,NYS Labor Force," 8,046,249 "
1981,3,NYS Labor Force," 8,065,538 "
1981,4,NYS Labor Force," 8,073,028 "
1981,5,NYS Labor Force," 8,065,869 "
1981,6,NYS Labor Force," 8,047,169 "
1981,7,NYS Labor Force," 8,023,540 "
1981,8,NYS Labor Force," 8,001,955 "
1981,9,NYS Labor Force," 7,986,251 "
1981,10,NYS Labor Force," 7,978,150 "
1981,11,NYS Labor Force," 7,975,144 "
1981,12,NYS Labor Force," 7,974,771 "
1982,1,NYS Labor Force," 7,976,631 "
1982,2,NYS Labor Force," 7,980,422 "
1982,3,NYS Labor Force," 7,984,128 "
1982,4,NYS Labor Force," 7,987,010 "
1982,5,NYS Labor Force," 7,988,116 "
1982,6,NYS Labor Force," 7,985,785 "
1982,7,NYS Labor Force," 7,980,868 "
1982,8,NYS Labor Force," 7,975,605 "
1982,9,NYS Labor Force," 7,972,315 "
1982,10,NYS Labor Force," 7,971,774 "
1982,11,NYS Labor Force," 7,973,878 "
1982,12,NYS Labor Force," 7,975,272 "
1983,1,NYS Labor Force," 7,975,079 "
1983,2,NYS Labor Force," 7,976,511 "
1983,3,NYS Labor Force," 7,982,910 "
1983,4,NYS Labor Force," 7,997,761 "
1983,5,NYS Labor Force," 8,019,832 "
1983,6,NYS Labor Force," 8,044,373 "
1983,7,NYS Labor Force," 8,066,458 "
1983,8,NYS Labor Force," 8,080,773 "
1983,9,NYS Labor Force," 8,084,502 "
1983,10,NYS Labor Force," 8,078,782 "
1983,11,NYS Labor Force," 8,067,726 "
1983,12,NYS Labor Force," 8,057,585 "
1984,1,NYS Labor Force," 8,053,218 "
1984,2,NYS Labor Force," 8,056,637 "
1984,3,NYS Labor Force," 8,068,225 "
1984,4,NYS Labor Force," 8,084,388 "
1984,5,NYS Labor Force," 8,102,352 "
1984,6,NYS Labor Force," 8,118,126 "
1984,7,NYS Labor Force," 8,127,075 "
1984,8,NYS Labor Force," 8,129,770 "
1984,9,NYS Labor Force," 8,129,062 "
1984,10,NYS Labor Force," 8,128,824 "
1984,11,NYS Labor Force," 8,133,760 "
1984,12,NYS Labor Force," 8,145,936 "
1985,1,NYS Labor Force," 8,162,398 "
1985,2,NYS Labor Force," 8,177,031 "
1985,3,NYS Labor Force," 8,184,560 "
1985,4,NYS Labor Force," 8,249,355 "
1985,5,NYS Labor Force," 8,278,164 "
1985,6,NYS Labor Force," 8,293,359 "
1985,7,NYS Labor Force," 8,307,718 "
1985,8,NYS Labor Force," 8,325,905 "
1985,9,NYS Labor Force," 8,347,996 "
1985,10,NYS Labor Force," 8,371,636 "
1985,11,NYS Labor Force," 8,392,584 "
1985,12,NYS Labor Force," 8,407,813 "
1986,1,NYS Labor Force," 8,417,695 "
1986,2,NYS Labor Force," 8,425,409 "
1986,3,NYS Labor Force," 8,432,690 "
1986,4,NYS Labor Force," 8,439,440 "
1986,5,NYS Labor Force," 8,444,060 "
1986,6,NYS Labor Force," 8,446,309 "
1986,7,NYS Labor Force," 8,446,807 "
1986,8,NYS Labor Force," 8,446,010 "
1986,9,NYS Labor Force," 8,444,650 "
1986,10,NYS Labor Force," 8,443,246 "
1986,11,NYS Labor Force," 8,441,569 "
1986,12,NYS Labor Force," 8,440,883 "
1987,1,NYS Labor Force," 8,441,771 "
1987,2,NYS Labor Force," 8,443,503 "
1987,3,NYS Labor Force," 8,447,195 "
1987,4,NYS Labor Force," 8,453,220 "
1987,5,NYS Labor Force," 8,461,149 "
1987,6,NYS Labor Force," 8,471,192 "
1987,7,NYS Labor Force," 8,483,495 "
1987,8,NYS Labor Force," 8,497,287 "
1987,9,NYS Labor Force," 8,510,594 "
1987,10,NYS Labor Force," 8,520,595 "
1987,11,NYS Labor Force," 8,525,703 "
1987,12,NYS Labor Force," 8,524,333 "
1988,1,NYS Labor Force," 8,516,679 "
1988,2,NYS Labor Force," 8,506,600 "
1988,3,NYS Labor Force," 8,498,645 "
1988,4,NYS Labor Force," 8,497,368 "
1988,5,NYS Labor Force," 8,505,117 "
1988,6,NYS Labor Force," 8,520,534 "
1988,7,NYS Labor Force," 8,540,340 "
1988,8,NYS Labor Force," 8,561,839 "
1988,9,NYS Labor Force," 8,583,153 "
1988,10,NYS Labor Force," 8,602,025 "
1988,11,NYS Labor Force," 8,617,868 "
1988,12,NYS Labor Force," 8,631,431 "
1989,1,NYS Labor Force," 8,644,324 "
1989,2,NYS Labor Force," 8,656,545 "
1989,3,NYS Labor Force," 8,667,962 "
1989,4,NYS Labor Force," 8,677,599 "
1989,5,NYS Labor Force," 8,684,836 "
1989,6,NYS Labor Force," 8,690,808 "
1989,7,NYS Labor Force," 8,696,915 "
1989,8,NYS Labor Force," 8,704,437 "
1989,9,NYS Labor Force," 8,715,162 "
1989,10,NYS Labor Force," 8,731,611 "
1989,11,NYS Labor Force," 8,752,551 "
1989,12,NYS Labor Force," 8,775,180 "
1990,1,NYS Labor Force," 8,796,154 "
1990,2,NYS Labor Force," 8,812,167 "
1990,3,NYS Labor Force," 8,821,532 "
1990,4,NYS Labor Force," 8,824,908 "
1990,5,NYS Labor Force," 8,825,081 "
1990,6,NYS Labor Force," 8,823,069 "
1990,7,NYS Labor Force," 8,820,754 "
1990,8,NYS Labor Force," 8,818,372 "
1990,9,NYS Labor Force," 8,813,305 "
1990,10,NYS Labor Force," 8,804,304 "
1990,11,NYS Labor Force," 8,793,744 "
1990,12,NYS Labor Force," 8,784,321 "
1991,1,NYS Labor Force," 8,777,929 "
1991,2,NYS Labor Force," 8,775,940 "
1991,3,NYS Labor Force," 8,775,539 "
1991,4,NYS Labor Force," 8,773,441 "
1991,5,NYS Labor Force," 8,767,616 "
1991,6,NYS Labor Force," 8,757,553 "
1991,7,NYS Labor Force," 8,743,327 "
1991,8,NYS Labor Force," 8,727,816 "
1991,9,NYS Labor Force," 8,715,680 "
1991,10,NYS Labor Force," 8,708,582 "
1991,11,NYS Labor Force," 8,705,941 "
1991,12,NYS Labor Force," 8,706,137 "
1992,1,NYS Labor Force," 8,708,926 "
1992,2,NYS Labor Force," 8,714,912 "
1992,3,NYS Labor Force," 8,725,365 "
1992,4,NYS Labor Force," 8,740,047 "
1992,5,NYS Labor Force," 8,754,894 "
1992,6,NYS Labor Force," 8,766,480 "
1992,7,NYS Labor Force," 8,773,818 "
1992,8,NYS Labor Force," 8,776,018 "
1992,9,NYS Labor Force," 8,772,947 "
1992,10,NYS Labor Force," 8,766,374 "
1992,11,NYS Labor Force," 8,756,812 "
1992,12,NYS Labor Force," 8,745,286 "
1993,1,NYS Labor Force," 8,733,683 "
1993,2,NYS Labor Force," 8,723,152 "
1993,3,NYS Labor Force," 8,715,644 "
1993,4,NYS Labor Force," 8,711,654 "
1993,5,NYS Labor Force," 8,711,124 "
1993,6,NYS Labor Force," 8,713,337 "
1993,7,NYS Labor Force," 8,715,058 "
1993,8,NYS Labor Force," 8,715,040 "
1993,9,NYS Labor Force," 8,714,887 "
1993,10,NYS Labor Force," 8,715,671 "
1993,11,NYS Labor Force," 8,718,020 "
1993,12,NYS Labor Force," 8,721,201 "
1994,1,NYS Labor Force," 8,721,845 "
1994,2,NYS Labor Force," 8,716,537 "
1994,3,NYS Labor Force," 8,704,544 "
1994,4,NYS Labor Force," 8,688,016 "
1994,5,NYS Labor Force," 8,671,546 "
1994,6,NYS Labor Force," 8,659,424 "
1994,7,NYS Labor Force," 8,654,246 "
1994,8,NYS Labor Force," 8,654,979 "
1994,9,NYS Labor Force," 8,658,712 "
1994,10,NYS Labor Force," 8,662,816 "
1994,11,NYS Labor Force," 8,666,851 "
1994,12,NYS Labor Force," 8,669,405 "
1995,1,NYS Labor Force," 8,668,788 "
1995,2,NYS Labor Force," 8,665,605 "
1995,3,NYS Labor Force," 8,661,084 "
1995,4,NYS Labor Force," 8,656,628 "
1995,5,NYS Labor Force," 8,654,154 "
1995,6,NYS Labor Force," 8,654,069 "
1995,7,NYS Labor Force," 8,656,212 "
1995,8,NYS Labor Force," 8,659,665 "
