New York City,,,,,
Smoothed Seasonally Adjusted,,,,,
YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate
1976,1," 3,114,007 "," 2,768,623 "," 345,384 ", 11.1 
1976,2," 3,113,272 "," 2,768,463 "," 344,809 ", 11.1 
1976,3," 3,112,681 "," 2,768,557 "," 344,124 ", 11.1 
1976,4," 3,112,243 "," 2,768,172 "," 344,071 ", 11.1 
1976,5," 3,112,773 "," 2,767,660 "," 345,113 ", 11.1 
1976,6," 3,112,378 "," 2,766,261 "," 346,117 ", 11.1 
1976,7," 3,109,451 "," 2,762,946 "," 346,505 ", 11.1 
1976,8," 3,104,484 "," 2,758,293 "," 346,191 ", 11.2 
1976,9," 3,096,874 "," 2,752,637 "," 344,237 ", 11.1 
1976,10," 3,087,989 "," 2,747,113 "," 340,876 ", 11.0 
1976,11," 3,079,964 "," 2,742,843 "," 337,121 ", 10.9 
1976,12," 3,073,767 "," 2,740,868 "," 332,899 ", 10.8 
1977,1," 3,069,810 "," 2,741,475 "," 328,335 ", 10.7 
1977,2," 3,066,271 "," 2,743,460 "," 322,811 ", 10.5 
1977,3," 3,061,448 "," 2,745,188 "," 316,260 ", 10.3 
1977,4," 3,056,417 "," 2,746,359 "," 310,058 ", 10.1 
1977,5," 3,052,801 "," 2,747,148 "," 305,653 ", 10.0 
1977,6," 3,051,600 "," 2,747,555 "," 304,045 ", 10.0 
1977,7," 3,052,687 "," 2,747,931 "," 304,756 ", 10.0 
1977,8," 3,055,388 "," 2,748,811 "," 306,577 ", 10.0 
1977,9," 3,058,680 "," 2,750,255 "," 308,425 ", 10.1 
1977,10," 3,060,824 "," 2,751,986 "," 308,838 ", 10.1 
1977,11," 3,060,803 "," 2,754,006 "," 306,797 ", 10.0 
1977,12," 3,059,231 "," 2,756,211 "," 303,020 ", 9.9 
1978,1," 3,056,857 "," 2,758,972 "," 297,885 ", 9.7 
1978,2," 3,054,123 "," 2,762,170 "," 291,953 ", 9.6 
