Place,YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate,,,,,,,,,,,
NYS,1976,1,7687165,6896554,790611, 10.3 ,,,,,,,,,,,
NYS,1976,2,7684752,6895390,789362, 10.3 ,,,,,,,,,,,
NYS,1976,3,7684481,6897998,786483, 10.2 ,,,,,,,,,,,
NYS,1976,4,7689935,6906874,783061, 10.2 ,,,,,,,,,,,
NYS,1976,5,7699911,6917563,782348, 10.2 ,,,,,,,,,,,
NYS,1976,6,7710197,6926350,783847, 10.2 ,,,,,,,,,,,
NYS,1976,7,7714711,6928065,786646, 10.2 ,,,,,,,,,,,
NYS,1976,8,7711955,6922698,789257, 10.2 ,,,,,,,,,,,
NYS,1976,9,7702135,6912814,789321, 10.2 ,,,,,,,,,,,
NYS,1976,10,7688549,6901865,786684, 10.2 ,,,,,,,,,,,
NYS,1976,11,7675643,6894001,781642, 10.2 ,,,,,,,,,,,
NYS,1976,12,7669179,6893647,775532, 10.1 ,,,,,,,,,,,
NYS,1977,1,7673859,6903917,769942, 10.0 ,,,,,,,,,,,
NYS,1977,2,7685946,6923761,762185, 9.9 ,,,,,,,,,,,
NYS,1977,3,7699013,6948749,750264, 9.7 ,,,,,,,,,,,
NYS,1977,4,7710663,6975580,735083, 9.5 ,,,,,,,,,,,
NYS,1977,5,7719926,7001075,718851, 9.3 ,,,,,,,,,,,
NYS,1977,6,7726901,7022585,704316, 9.1 ,,,,,,,,,,,
NYS,1977,7,7733588,7040877,692711, 9.0 ,,,,,,,,,,,
NYS,1977,8,7742645,7058488,684157, 8.8 ,,,,,,,,,,,
NYS,1977,9,7754068,7076707,677361, 8.7 ,,,,,,,,,,,
NYS,1977,10,7765621,7095195,670426, 8.6 ,,,,,,,,,,,
NYS,1977,11,7775641,7113136,662505, 8.5 ,,,,,,,,,,,
NYS,1977,12,7782581,7128771,653810, 8.4 ,,,,,,,,,,,
NYS,1978,1,7787320,7143545,643775, 8.3 ,,,,,,,,,,,
NYS,1978,2,7792592,7158808,633784, 8.1 ,,,,,,,,,,,
NYS,1978,3,7799865,7174491,625374, 8.0 ,,,,,,,,,,,
NYS,1978,4,7808695,7189887,618808, 7.9 ,,,,,,,,,,,
NYS,1978,5,7819734,7205741,613993, 7.9 ,,,,,,,,,,,
NYS,1978,6,7832827,7223321,609506, 7.8 ,,,,,,,,,,,
NYS,1978,7,7847213,7242277,604936, 7.7 ,,,,,,,,,,,
NYS,1978,8,7862942,7262302,600640, 7.6 ,,,,,,,,,,,
NYS,1978,9,7880750,7284730,596020, 7.6 ,,,,,,,,,,,
NYS,1978,10,7901898,7310842,591056, 7.5 ,,,,,,,,,,,
NYS,1978,11,7924783,7338896,585887, 7.4 ,,,,,,,,,,,
NYS,1978,12,7944266,7363972,580294, 7.3 ,,,,,,,,,,,
NYS,1979,1,7955684,7381316,574368, 7.2 ,,,,,,,,,,,
NYS,1979,2,7959763,7391227,568536, 7.1 ,,,,,,,,,,,
NYS,1979,3,7960601,7396959,563642, 7.1 ,,,,,,,,,,,
NYS,1979,4,7962758,7401466,561292, 7.0 ,,,,,,,,,,,
NYS,1979,5,7970035,7407580,562455, 7.1 ,,,,,,,,,,,
NYS,1979,6,7982659,7415310,567349, 7.1 ,,,,,,,,,,,
NYS,1979,7,7999247,7425317,573930, 7.2 ,,,,,,,,,,,
NYS,1979,8,8017455,7437082,580373, 7.2 ,,,,,,,,,,,
NYS,1979,9,8034013,7448242,585771, 7.3 ,,,,,,,,,,,
NYS,1979,10,8044467,7456960,587507, 7.3 ,,,,,,,,,,,
NYS,1979,11,8046086,7461673,584413, 7.3 ,,,,,,,,,,,
NYS,1979,12,8040294,7460829,579465, 7.2 ,,,,,,,,,,,
NYS,1980,1,8028702,7452203,576499, 7.2 ,,,,,,,,,,,
NYS,1980,2,8012458,7434606,577852, 7.2 ,,,,,,,,,,,
NYS,1980,3,7993688,7409844,583844, 7.3 ,,,,,,,,,,,
NYS,1980,4,7975051,7382931,592120, 7.4 ,,,,,,,,,,,
NYS,1980,5,7959384,7359185,600199, 7.5 ,,,,,,,,,,,
NYS,1980,6,7950541,7344270,606271, 7.6 ,,,,,,,,,,,
NYS,1980,7,7948491,7339732,608759, 7.7 ,,,,,,,,,,,
NYS,1980,8,7950512,7343684,606828, 7.6 ,,,,,,,,,,,
NYS,1980,9,7955340,7352626,602714, 7.6 ,,,,,,,,,,,
NYS,1980,10,7963137,7362102,601035, 7.5 ,,,,,,,,,,,
NYS,1980,11,7975839,7372157,603682, 7.6 ,,,,,,,,,,,
NYS,1980,12,7995685,7386605,609080, 7.6 ,,,,,,,,,,,
NYS,1981,1,8021001,7405176,615825, 7.7 ,,,,,,,,,,,
NYS,1981,2,8046249,7424294,621955, 7.7 ,,,,,,,,,,,
