New York State,,,,,,,,,,,,,,,,
Smoothed Seasonally Adjusted,,,,,,,,,,,,,,,,
YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate,,,,,,,,,,,
1976,1," 7,687,165 "," 6,896,554 "," 790,611 ", 10.3 ,,,,,,,,,,,
1976,2," 7,684,752 "," 6,895,390 "," 789,362 ", 10.3 ,,,,,,,,,,,
1976,3," 7,684,481 "," 6,897,998 "," 786,483 ", 10.2 ,,,,,,,,,,,
1976,4," 7,689,935 "," 6,906,874 "," 783,061 ", 10.2 ,,,,,,,,,,,
1976,5," 7,699,911 "," 6,917,563 "," 782,348 ", 10.2 ,,,,,,,,,,,
1976,6," 7,710,197 "," 6,926,350 "," 783,847 ", 10.2 ,,,,,,,,,,,
1976,7," 7,714,711 "," 6,928,065 "," 786,646 ", 10.2 ,,,,,,,,,,,
1976,8," 7,711,955 "," 6,922,698 "," 789,257 ", 10.2 ,,,,,,,,,,,
1976,9," 7,702,135 "," 6,912,814 "," 789,321 ", 10.2 ,,,,,,,,,,,
1976,10," 7,688,549 "," 6,901,865 "," 786,684 ", 10.2 ,,,,,,,,,,,
1976,11," 7,675,643 "," 6,894,001 "," 781,642 ", 10.2 ,,,,,,,,,,,
1976,12," 7,669,179 "," 6,893,647 "," 775,532 ", 10.1 ,,,,,,,,,,,
1977,1," 7,673,859 "," 6,903,917 "," 769,942 ", 10.0 ,,,,,,,,,,,
1977,2," 7,685,946 "," 6,923,761 "," 762,185 ", 9.9 ,,,,,,,,,,,
1977,3," 7,699,013 "," 6,948,749 "," 750,264 ", 9.7 ,,,,,,,,,,,
1977,4," 7,710,663 "," 6,975,580 "," 735,083 ", 9.5 ,,,,,,,,,,,
1977,5," 7,719,926 "," 7,001,075 "," 718,851 ", 9.3 ,,,,,,,,,,,
1977,6," 7,726,901 "," 7,022,585 "," 704,316 ", 9.1 ,,,,,,,,,,,
1977,7," 7,733,588 "," 7,040,877 "," 692,711 ", 9.0 ,,,,,,,,,,,
1977,8," 7,742,645 "," 7,058,488 "," 684,157 ", 8.8 ,,,,,,,,,,,
1977,9," 7,754,068 "," 7,076,707 "," 677,361 ", 8.7 ,,,,,,,,,,,
1977,10," 7,765,621 "," 7,095,195 "," 670,426 ", 8.6 ,,,,,,,,,,,
1977,11," 7,775,641 "," 7,113,136 "," 662,505 ", 8.5 ,,,,,,,,,,,
1977,12," 7,782,581 "," 7,128,771 "," 653,810 ", 8.4 ,,,,,,,,,,,
1978,1," 7,787,320 "," 7,143,545 "," 643,775 ", 8.3 ,,,,,,,,,,,
1978,2," 7,792,592 "," 7,158,808 "," 633,784 ", 8.1 ,,,,,,,,,,,
1978,3," 7,799,865 "," 7,174,491 "," 625,374 ", 8.0 ,,,,,,,,,,,
1978,4," 7,808,695 "," 7,189,887 "," 618,808 ", 7.9 ,,,,,,,,,,,
1978,5," 7,819,734 "," 7,205,741 "," 613,993 ", 7.9 ,,,,,,,,,,,
1978,6," 7,832,827 "," 7,223,321 "," 609,506 ", 7.8 ,,,,,,,,,,,
1978,7," 7,847,213 "," 7,242,277 "," 604,936 ", 7.7 ,,,,,,,,,,,
1978,8," 7,862,942 "," 7,262,302 "," 600,640 ", 7.6 ,,,,,,,,,,,
1978,9," 7,880,750 "," 7,284,730 "," 596,020 ", 7.6 ,,,,,,,,,,,
1978,10," 7,901,898 "," 7,310,842 "," 591,056 ", 7.5 ,,,,,,,,,,,
1978,11," 7,924,783 "," 7,338,896 "," 585,887 ", 7.4 ,,,,,,,,,,,
1978,12," 7,944,266 "," 7,363,972 "," 580,294 ", 7.3 ,,,,,,,,,,,
1979,1," 7,955,684 "," 7,381,316 "," 574,368 ", 7.2 ,,,,,,,,,,,
1979,2," 7,959,763 "," 7,391,227 "," 568,536 ", 7.1 ,,,,,,,,,,,
1979,3," 7,960,601 "," 7,396,959 "," 563,642 ", 7.1 ,,,,,,,,,,,
1979,4," 7,962,758 "," 7,401,466 "," 561,292 ", 7.0 ,,,,,,,,,,,
1979,5," 7,970,035 "," 7,407,580 "," 562,455 ", 7.1 ,,,,,,,,,,,
1979,6," 7,982,659 "," 7,415,310 "," 567,349 ", 7.1 ,,,,,,,,,,,
1979,7," 7,999,247 "," 7,425,317 "," 573,930 ", 7.2 ,,,,,,,,,,,
1979,8," 8,017,455 "," 7,437,082 "," 580,373 ", 7.2 ,,,,,,,,,,,
1979,9," 8,034,013 "," 7,448,242 "," 585,771 ", 7.3 ,,,,,,,,,,,
1979,10," 8,044,467 "," 7,456,960 "," 587,507 ", 7.3 ,,,,,,,,,,,
1979,11," 8,046,086 "," 7,461,673 "," 584,413 ", 7.3 ,,,,,,,,,,,
1979,12," 8,040,294 "," 7,460,829 "," 579,465 ", 7.2 ,,,,,,,,,,,
1980,1," 8,028,702 "," 7,452,203 "," 576,499 ", 7.2 ,,,,,,,,,,,
1980,2," 8,012,458 "," 7,434,606 "," 577,852 ", 7.2 ,,,,,,,,,,,
1980,3," 7,993,688 "," 7,409,844 "," 583,844 ", 7.3 ,,,,,,,,,,,
1980,4," 7,975,051 "," 7,382,931 "," 592,120 ", 7.4 ,,,,,,,,,,,
1980,5," 7,959,384 "," 7,359,185 "," 600,199 ", 7.5 ,,,,,,,,,,,
1980,6," 7,950,541 "," 7,344,270 "," 606,271 ", 7.6 ,,,,,,,,,,,
1980,7," 7,948,491 "," 7,339,732 "," 608,759 ", 7.7 ,,,,,,,,,,,
1980,8," 7,950,512 "," 7,343,684 "," 606,828 ", 7.6 ,,,,,,,,,,,
1980,9," 7,955,340 "," 7,352,626 "," 602,714 ", 7.6 ,,,,,,,,,,,
1980,10," 7,963,137 "," 7,362,102 "," 601,035 ", 7.5 ,,,,,,,,,,,
1980,11," 7,975,839 "," 7,372,157 "," 603,682 ", 7.6 ,,,,,,,,,,,
1980,12," 7,995,685 "," 7,386,605 "," 609,080 ", 7.6 ,,,,,,,,,,,
1981,1," 8,021,001 "," 7,405,176 "," 615,825 ", 7.7 ,,,,,,,,,,,
1981,2," 8,046,249 "," 7,424,294 "," 621,955 ", 7.7 ,,,,,,,,,,,
1981,3," 8,065,538 "," 7,441,190 "," 624,348 ", 7.7 ,,,,,,,,,,,
1981,4," 8,073,028 "," 7,451,699 "," 621,329 ", 7.7 ,,,,,,,,,,,
1981,5," 8,065,869 "," 7,452,784 "," 613,085 ", 7.6 ,,,,,,,,,,,
1981,6," 8,047,169 "," 7,445,355 "," 601,814 ", 7.5 ,,,,,,,,,,,
1981,7," 8,023,540 "," 7,431,197 "," 592,343 ", 7.4 ,,,,,,,,,,,
1981,8," 8,001,955 "," 7,413,239 "," 588,716 ", 7.4 ,,,,,,,,,,,
1981,9," 7,986,251 "," 7,395,151 "," 591,100 ", 7.4 ,,,,,,,,,,,
1981,10," 7,978,150 "," 7,379,824 "," 598,326 ", 7.5 ,,,,,,,,,,,
1981,11," 7,975,144 "," 7,365,850 "," 609,294 ", 7.6 ,,,,,,,,,,,
1981,12," 7,974,771 "," 7,352,769 "," 622,002 ", 7.8 ,,,,,,,,,,,
1982,1," 7,976,631 "," 7,343,565 "," 633,066 ", 7.9 ,,,,,,,,,,,
1982,2," 7,980,422 "," 7,339,090 "," 641,332 ", 8.0 ,,,,,,,,,,,
1982,3," 7,984,128 "," 7,336,760 "," 647,368 ", 8.1 ,,,,,,,,,,,
1982,4," 7,987,010 "," 7,334,993 "," 652,017 ", 8.2 ,,,,,,,,,,,
1982,5," 7,988,116 "," 7,331,849 "," 656,267 ", 8.2 ,,,,,,,,,,,
1982,6," 7,985,785 "," 7,324,164 "," 661,621 ", 8.3 ,,,,,,,,,,,
1982,7," 7,980,868 "," 7,311,302 "," 669,566 ", 8.4 ,,,,,,,,,,,
1982,8," 7,975,605 "," 7,294,904 "," 680,701 ", 8.5 ,,,,,,,,,,,
1982,9," 7,972,315 "," 7,277,046 "," 695,269 ", 8.7 ,,,,,,,,,,,
1982,10," 7,971,774 "," 7,260,021 "," 711,753 ", 8.9 ,,,,,,,,,,,
1982,11," 7,973,878 "," 7,247,062 "," 726,816 ", 9.1 ,,,,,,,,,,,
1982,12," 7,975,272 "," 7,238,089 "," 737,183 ", 9.2 ,,,,,,,,,,,
1983,1," 7,975,079 "," 7,232,729 "," 742,350 ", 9.3 ,,,,,,,,,,,
1983,2," 7,976,511 "," 7,234,185 "," 742,326 ", 9.3 ,,,,,,,,,,,
1983,3," 7,982,910 "," 7,244,713 "," 738,197 ", 9.2 ,,,,,,,,,,,
1983,4," 7,997,761 "," 7,265,240 "," 732,521 ", 9.2 ,,,,,,,,,,,
1983,5," 8,019,832 "," 7,293,924 "," 725,908 ", 9.1 ,,,,,,,,,,,
1983,6," 8,044,373 "," 7,327,161 "," 717,212 ", 8.9 ,,,,,,,,,,,
1983,7," 8,066,458 "," 7,361,277 "," 705,181 ", 8.7 ,,,,,,,,,,,
1983,8," 8,080,773 "," 7,390,869 "," 689,904 ", 8.5 ,,,,,,,,,,,
1983,9," 8,084,502 "," 7,412,353 "," 672,149 ", 8.3 ,,,,,,,,,,,
1983,10," 8,078,782 "," 7,425,886 "," 652,896 ", 8.1 ,,,,,,,,,,,
1983,11," 8,067,726 "," 7,433,476 "," 634,250 ", 7.9 ,,,,,,,,,,,
1983,12," 8,057,585 "," 7,439,623 "," 617,962 ", 7.7 ,,,,,,,,,,,
1984,1," 8,053,218 "," 7,449,882 "," 603,336 ", 7.5 ,,,,,,,,,,,
1984,2," 8,056,637 "," 7,466,024 "," 590,613 ", 7.3 ,,,,,,,,,,,
1984,3," 8,068,225 "," 7,486,063 "," 582,162 ", 7.2 ,,,,,,,,,,,
1984,4," 8,084,388 "," 7,505,941 "," 578,447 ", 7.2 ,,,,,,,,,,,
1984,5," 8,102,352 "," 7,522,726 "," 579,626 ", 7.2 ,,,,,,,,,,,
1984,6," 8,118,126 "," 7,534,320 "," 583,806 ", 7.2 ,,,,,,,,,,,
1984,7," 8,127,075 "," 7,540,016 "," 587,059 ", 7.2 ,,,,,,,,,,,
1984,8," 8,129,770 "," 7,542,633 "," 587,137 ", 7.2 ,,,,,,,,,,,
1984,9," 8,129,062 "," 7,545,795 "," 583,267 ", 7.2 ,,,,,,,,,,,
1984,10," 8,128,824 "," 7,553,219 "," 575,605 ", 7.1 ,,,,,,,,,,,
1984,11," 8,133,760 "," 7,567,724 "," 566,036 ", 7.0 ,,,,,,,,,,,
1984,12," 8,145,936 "," 7,588,255 "," 557,681 ", 6.8 ,,,,,,,,,,,
1985,1," 8,162,398 "," 7,608,817 "," 553,581 ", 6.8 ,,,,,,,,,,,
1985,2," 8,177,031 "," 7,623,263 "," 553,768 ", 6.8 ,,,,,,,,,,,
1985,3," 8,184,560 "," 7,629,801 "," 554,759 ", 6.8 ,,,,,,,,,,,
1985,4," 8,249,355 "," 7,695,257 "," 554,098 ", 6.7 ,,,,,,,,,,,
1985,5," 8,278,164 "," 7,726,502 "," 551,662 ", 6.7 ,,,,,,,,,,,
1985,6," 8,293,359 "," 7,745,005 "," 548,354 ", 6.6 ,,,,,,,,,,,
1985,7," 8,307,718 "," 7,761,951 "," 545,767 ", 6.6 ,,,,,,,,,,,
1985,8," 8,325,905 "," 7,783,043 "," 542,862 ", 6.5 ,,,,,,,,,,,
1985,9," 8,347,996 "," 7,808,417 "," 539,579 ", 6.5 ,,,,,,,,,,,
1985,10," 8,371,636 "," 7,833,604 "," 538,032 ", 6.4 ,,,,,,,,,,,
1985,11," 8,392,584 "," 7,853,542 "," 539,042 ", 6.4 ,,,,,,,,,,,
1985,12," 8,407,813 "," 7,865,100 "," 542,713 ", 6.5 ,,,,,,,,,,,
1986,1," 8,417,695 "," 7,869,249 "," 548,446 ", 6.5 ,,,,,,,,,,,
1986,2," 8,425,409 "," 7,870,640 "," 554,769 ", 6.6 ,,,,,,,,,,,
1986,3," 8,432,690 "," 7,873,009 "," 559,681 ", 6.6 ,,,,,,,,,,,
1986,4," 8,439,440 "," 7,878,431 "," 561,009 ", 6.6 ,,,,,,,,,,,
1986,5," 8,444,060 "," 7,887,486 "," 556,574 ", 6.6 ,,,,,,,,,,,
1986,6," 8,446,309 "," 7,899,992 "," 546,317 ", 6.5 ,,,,,,,,,,,
1986,7," 8,446,807 "," 7,914,993 "," 531,814 ", 6.3 ,,,,,,,,,,,
1986,8," 8,446,010 "," 7,929,866 "," 516,144 ", 6.1 ,,,,,,,,,,,
1986,9," 8,444,650 "," 7,942,965 "," 501,685 ", 5.9 ,,,,,,,,,,,
1986,10," 8,443,246 "," 7,954,497 "," 488,749 ", 5.8 ,,,,,,,,,,,
1986,11," 8,441,569 "," 7,964,163 "," 477,406 ", 5.7 ,,,,,,,,,,,
1986,12," 8,440,883 "," 7,974,393 "," 466,490 ", 5.5 ,,,,,,,,,,,
1987,1," 8,441,771 "," 7,986,560 "," 455,211 ", 5.4 ,,,,,,,,,,,
1987,2," 8,443,503 "," 7,999,842 "," 443,661 ", 5.3 ,,,,,,,,,,,
1987,3," 8,447,195 "," 8,014,696 "," 432,499 ", 5.1 ,,,,,,,,,,,
1987,4," 8,453,220 "," 8,031,202 "," 422,018 ", 5.0 ,,,,,,,,,,,
1987,5," 8,461,149 "," 8,048,381 "," 412,768 ", 4.9 ,,,,,,,,,,,
1987,6," 8,471,192 "," 8,064,923 "," 406,269 ", 4.8 ,,,,,,,,,,,
1987,7," 8,483,495 "," 8,080,162 "," 403,333 ", 4.8 ,,,,,,,,,,,
1987,8," 8,497,287 "," 8,094,174 "," 403,113 ", 4.7 ,,,,,,,,,,,
1987,9," 8,510,594 "," 8,107,825 "," 402,769 ", 4.7 ,,,,,,,,,,,
1987,10," 8,520,595 "," 8,120,516 "," 400,079 ", 4.7 ,,,,,,,,,,,
1987,11," 8,525,703 "," 8,132,516 "," 393,187 ", 4.6 ,,,,,,,,,,,
1987,12," 8,524,333 "," 8,142,148 "," 382,185 ", 4.5 ,,,,,,,,,,,
1988,1," 8,516,679 "," 8,148,513 "," 368,166 ", 4.3 ,,,,,,,,,,,
1988,2," 8,506,600 "," 8,152,981 "," 353,619 ", 4.2 ,,,,,,,,,,,
1988,3," 8,498,645 "," 8,156,087 "," 342,558 ", 4.0 ,,,,,,,,,,,
1988,4," 8,497,368 "," 8,158,999 "," 338,369 ", 4.0 ,,,,,,,,,,,
1988,5," 8,505,117 "," 8,163,322 "," 341,795 ", 4.0 ,,,,,,,,,,,
1988,6," 8,520,534 "," 8,170,127 "," 350,407 ", 4.1 ,,,,,,,,,,,
1988,7," 8,540,340 "," 8,179,165 "," 361,175 ", 4.2 ,,,,,,,,,,,
1988,8," 8,561,839 "," 8,189,447 "," 372,392 ", 4.3 ,,,,,,,,,,,
1988,9," 8,583,153 "," 8,199,978 "," 383,175 ", 4.5 ,,,,,,,,,,,
1988,10," 8,602,025 "," 8,210,585 "," 391,440 ", 4.6 ,,,,,,,,,,,
1988,11," 8,617,868 "," 8,220,962 "," 396,906 ", 4.6 ,,,,,,,,,,,
1988,12," 8,631,431 "," 8,230,468 "," 400,963 ", 4.6 ,,,,,,,,,,,
1989,1," 8,644,324 "," 8,239,246 "," 405,078 ", 4.7 ,,,,,,,,,,,
1989,2," 8,656,545 "," 8,246,117 "," 410,428 ", 4.7 ,,,,,,,,,,,
1989,3," 8,667,962 "," 8,251,902 "," 416,060 ", 4.8 ,,,,,,,,,,,
1989,4," 8,677,599 "," 8,256,538 "," 421,061 ", 4.9 ,,,,,,,,,,,
1989,5," 8,684,836 "," 8,259,412 "," 425,424 ", 4.9 ,,,,,,,,,,,
1989,6," 8,690,808 "," 8,260,707 "," 430,101 ", 4.9 ,,,,,,,,,,,
1989,7," 8,696,915 "," 8,261,118 "," 435,797 ", 5.0 ,,,,,,,,,,,
1989,8," 8,704,437 "," 8,262,776 "," 441,661 ", 5.1 ,,,,,,,,,,,
1989,9," 8,715,162 "," 8,268,108 "," 447,054 ", 5.1 ,,,,,,,,,,,
1989,10," 8,731,611 "," 8,279,526 "," 452,085 ", 5.2 ,,,,,,,,,,,
1989,11," 8,752,551 "," 8,296,356 "," 456,195 ", 5.2 ,,,,,,,,,,,
1989,12," 8,775,180 "," 8,316,742 "," 458,438 ", 5.2 ,,,,,,,,,,,
1990,1," 8,796,154 "," 8,338,055 "," 458,099 ", 5.2 ,,,,,,,,,,,
1990,2," 8,812,167 "," 8,357,217 "," 454,950 ", 5.2 ,,,,,,,,,,,
1990,3," 8,821,532 "," 8,370,923 "," 450,609 ", 5.1 ,,,,,,,,,,,
1990,4," 8,824,908 "," 8,377,690 "," 447,218 ", 5.1 ,,,,,,,,,,,
