"","word","n","type"
"1","and",8869,"Stop Word"
"2","to",6650,"Stop Word"
"3","the",6352,"Stop Word"
"4","of",4802,"Stop Word"
"5","we",4657,"Stop Word"
"6","our",4093,"Stop Word"
"7","in",3146,"Stop Word"
"8","a",2924,"Stop Word"
"9","that",2273,"Stop Word"
"10","for",1864,"Stop Word"
"11","black",732,"Normal"
"12","communities",707,"Normal"
"13","racism",653,"Normal"
"14","ceo",609,"Normal"
"15","diversity",550,"Normal"
"16","company",545,"Normal"
"17","people",527,"Normal"
"18","community",524,"Normal"
"19","support",475,"Normal"
"20","change",456,"Normal"
"21","racial",456,"Normal"
